Trial 1, Volume = 824.62

Trial 2, Volume = 0.00

Trial 3, Volume = 0.00

Trial 4, Volume = 0.00

Trial 5, Volume = 30.24

Trial 6, Volume = 0.00

Trial 7, Volume = 0.00

Trial 8, Volume = 1111.51

Trial 9, Volume = 0.00

Trial 10, Volume = 0.00

Trial 11, Volume = 0.00

Trial 12, Volume = 23377.78

Trial 13, Volume = 66.91

Trial 14, Volume = 0.00

Trial 15, Volume = 241891.31

Trial 16, Volume = 0.00

Trial 17, Volume = 0.00

Trial 18, Volume = 0.00

Trial 19, Volume = 0.00

Trial 20, Volume = 6.49

Trial 21, Volume = 0.00

Trial 22, Volume = 107.50

Trial 23, Volume = 0.00

Trial 24, Volume = 0.00

Trial 25, Volume = 168.00

Trial 26, Volume = 0.00

Trial 27, Volume = 0.00

Trial 28, Volume = 0.00

Trial 29, Volume = 0.00

Trial 30, Volume = 0.00

Trial 31, Volume = 0.00

Trial 32, Volume = 0.00

Trial 33, Volume = 0.00

Trial 34, Volume = 0.00

Trial 35, Volume = 0.00

Trial 36, Volume = 0.00

Trial 37, Volume = 0.00

Trial 38, Volume = 893.03

Trial 39, Volume = 0.00

Trial 40, Volume = 281.20

Trial 41, Volume = 0.00

Trial 42, Volume = 0.00

Trial 43, Volume = 197.75

Trial 44, Volume = 0.00

Trial 45, Volume = 0.00

Trial 46, Volume = 0.00

Trial 47, Volume = 0.00

Trial 48, Volume = 0.00

Trial 49, Volume = 810.92

Trial 50, Volume = 0.00

Trial 51, Volume = 0.00

Trial 52, Volume = 0.00

Trial 53, Volume = 0.00

Trial 54, Volume = 146.37

Trial 55, Volume = 0.00

Trial 56, Volume = 0.00

Trial 57, Volume = 0.00

Trial 58, Volume = 0.00

Trial 59, Volume = 0.00

Trial 60, Volume = 0.00

Trial 61, Volume = 0.00

Trial 62, Volume = 0.00

Trial 63, Volume = 0.00

Trial 64, Volume = 544.85

Trial 65, Volume = 0.00

Trial 66, Volume = 0.00

Trial 67, Volume = 0.00

Trial 68, Volume = 0.00

Trial 69, Volume = 0.00

Trial 70, Volume = 162.84

Trial 71, Volume = 0.00

Trial 72, Volume = 0.00

Trial 73, Volume = 306.36

Trial 74, Volume = 0.00

Trial 75, Volume = 0.00

Trial 76, Volume = 614.48

Trial 77, Volume = 0.00

Trial 78, Volume = 0.00

Trial 79, Volume = 0.00

Trial 80, Volume = 0.00

Trial 81, Volume = 600.84

Trial 82, Volume = 0.00

Trial 83, Volume = 0.00

Trial 84, Volume = 0.00

Trial 85, Volume = 170.90

Trial 86, Volume = 0.00

Trial 87, Volume = 0.00

Trial 88, Volume = 507.97

Trial 89, Volume = 0.00

Trial 90, Volume = 0.00

Trial 91, Volume = 0.00

Trial 92, Volume = 0.00

Trial 93, Volume = 0.00

Trial 94, Volume = 0.00

Trial 95, Volume = 0.00

Trial 96, Volume = 0.00

Trial 97, Volume = 479.05

Trial 98, Volume = 0.00

Trial 99, Volume = 0.00

Trial 100, Volume = 0.00

Trial 101, Volume = 0.00

Trial 102, Volume = 0.00

Trial 103, Volume = 0.00

Trial 104, Volume = 117.70

Trial 105, Volume = 0.00

Trial 106, Volume = 0.00

Trial 107, Volume = 0.00

Trial 108, Volume = 0.00

Trial 109, Volume = 0.00

Trial 110, Volume = 366.25

Trial 111, Volume = 21.29

Trial 112, Volume = 0.00

Trial 113, Volume = 0.00

Trial 114, Volume = 0.00

Trial 115, Volume = 76.78

Trial 116, Volume = 0.00

Trial 117, Volume = 0.00

Trial 118, Volume = 561.87

Trial 119, Volume = 0.00

Trial 120, Volume = 0.00

Trial 121, Volume = 346.94

Trial 122, Volume = 0.00

Trial 123, Volume = 0.00

Trial 124, Volume = 0.00

Trial 125, Volume = 0.00

Trial 126, Volume = 0.00

Trial 127, Volume = 0.00

Trial 128, Volume = 0.00

Trial 129, Volume = 0.00

Trial 130, Volume = 26.98

Trial 131, Volume = 0.00

Trial 132, Volume = 0.00

Trial 133, Volume = 0.00

Trial 134, Volume = 0.00

Trial 135, Volume = 0.00

Trial 136, Volume = 0.00

Trial 137, Volume = 0.00

Trial 138, Volume = 0.00

Trial 139, Volume = 0.00

Trial 140, Volume = 0.00

Trial 141, Volume = 0.00

Trial 142, Volume = 152038.88

Trial 143, Volume = 0.00

Trial 144, Volume = 0.00

Trial 145, Volume = 490.15

Trial 146, Volume = 114.24

Trial 147, Volume = 0.00

Trial 148, Volume = 0.00

Trial 149, Volume = 0.00

Trial 150, Volume = 0.00

Trial 151, Volume = 0.00

Trial 152, Volume = 0.00

Trial 153, Volume = 0.00

Trial 154, Volume = 26.94

Trial 155, Volume = 0.00

Trial 156, Volume = 0.00

Trial 157, Volume = 0.00

Trial 158, Volume = 0.00

Trial 159, Volume = 0.00

Trial 160, Volume = 0.00

Trial 161, Volume = 0.00

Trial 162, Volume = 0.00

Trial 163, Volume = 0.00

Trial 164, Volume = 0.00

Trial 165, Volume = 1453.93

Trial 166, Volume = 0.00

Trial 167, Volume = 1294.42

Trial 168, Volume = 0.00

Trial 169, Volume = 0.00

Trial 170, Volume = 0.00

Trial 171, Volume = 0.00

Trial 172, Volume = 0.00

Trial 173, Volume = 121.99

Trial 174, Volume = 0.00

Trial 175, Volume = 0.00

Trial 176, Volume = 7782.15

Trial 177, Volume = 0.00

Trial 178, Volume = 0.00

Trial 179, Volume = 730.43

Trial 180, Volume = 0.00

Trial 181, Volume = 28.31

Trial 182, Volume = 73050.78

Trial 183, Volume = 0.00

Trial 184, Volume = 0.00

Trial 185, Volume = 167.82

Trial 186, Volume = 0.00

Trial 187, Volume = 2700.89

Trial 188, Volume = 0.00

Trial 189, Volume = 0.00

Trial 190, Volume = 0.00

Trial 191, Volume = 0.00

Trial 192, Volume = 0.00

Trial 193, Volume = 230.78

Trial 194, Volume = 0.00

Trial 195, Volume = 0.00

Trial 196, Volume = 0.00

Trial 197, Volume = 0.00

Trial 198, Volume = 0.00

Trial 199, Volume = 0.00

Trial 200, Volume = 0.00

Trial 201, Volume = 0.00

Trial 202, Volume = 0.00
